id,surahs,ayahs,ayahs-translation,clean_translation,theme,emotion,sentiment
1829,15,27,"And the Jinn race, We had created before, from the fire of a scorching wind.",and the jinn race we had created before from the fire of a scorching wind,,,Positive
1830,15,28,"Behold! thy Lord said to the angels: ""I am about to create man, from sounding clay from mud moulded into shape;",behold thy lord said to the angels i am about to create man from sounding clay from mud moulded into shape,"Creation and Signs, Tawhid (Oneness of God), Worship and Obedience",Trust,Positive
1831,15,29,"""When I have fashioned him (in due proportion) and breathed into him of My spirit, fall ye down in obeisance unto him.""",when i have fashioned him in due proportion and breathed into him of my spirit fall ye down in obeisance unto him,"Worship and Obedience, Moral and Righteous Living, Tawhid (Oneness of God), Justice and Social Fairness, Prophets and Revelation, Creation and Signs, Good vs Evil (Accountability), Afterlife and Judgment","Affection, Awe, Trust, Grace, Empaty, Gratitude, Courage, Ecstacy, Love, Contentment, Desire, Joy, Wonder, Pride, Hope, Remorse, Distress, Pleasure",Positive
1832,15,30,"So the angels prostrated themselves, all of them together:",so the angels prostrated themselves all of them together,"Worship and Obedience, Moral and Righteous Living, Tawhid (Oneness of God)","Awe, Grace, Affection, Gratitude, Empaty, Ecstacy, Humiliation, Distress, Remorse, Regret, Love, Contentment, Trust, Wonder, Courage, Joy, Grief, Pleasure",Positive
1833,15,31,Not so Iblis: he refused to be among those who prostrated themselves.,not so iblis he refused to be among those who prostrated themselves,"Moral and Righteous Living, Worship and Obedience, Good vs Evil (Accountability), Justice and Social Fairness","Courage, Hostility, Contempt, Regret, Humiliation, Remorse, Distress, Disappointment",Negative
1834,15,32,"(Allah) said: ""O Iblis! what is your reason for not being among those who prostrated themselves?""",allah said o iblis what is your reason for not being among those who prostrated themselves,,"Humiliation, Contempt",Negative
1835,15,33,"(Iblis) said: ""I am not one to prostrate myself to man, whom Thou didst create from sounding clay, from mud moulded into shape.""",iblis said i am not one to prostrate myself to man whom thou didst create from sounding clay from mud moulded into shape,,"Contempt, Hostility, Frustration, Remorse, Regret",Negative
1836,15,34,"(Allah) said: ""Then get thee out from here; for thou art rejected, accursed.",allah said then get thee out from here for thou art rejected accursed,"Good vs Evil (Accountability), Prophets and Revelation","Contempt, Disappointment, Hostility, Shame, Anguish, Despair, Hatred, Distress, Regret, Humiliation, Grief, Suffering, Frustration, Remorse, Fear, Anxiousness, Anger",Negative
1837,15,35,"""And the curse shall be on thee till the day of Judgment.""",and the curse shall be on thee till the day of judgment,"Afterlife and Judgment, Good vs Evil (Accountability), Prophets and Revelation","Contempt, Suffering, Anguish, Shame, Distress, Regret, Hostility, Hatred, Remorse, Despair, Envy, Grief, Fear, Humiliation, Disappointment, Anger, Frustration",Negative
1838,15,36,"(Iblis) said: ""O my Lord! give me then respite till the Day the (dead) are raised.""",iblis said o my lord give me then respite till the day the dead are raised,"Worship and Obedience, Afterlife and Judgment, Tawhid (Oneness of God)","Distress, Grief, Remorse, Regret, Courage, Anxiousness, Trust, Contempt, Frustration, Hostility",Negative
1839,15,37,"(Allah) said: ""Respite is granted thee",allah said respite is granted thee,"Tawhid (Oneness of God), Moral and Righteous Living, Prophets and Revelation, Justice and Social Fairness","Grace, Contentment, Ecstacy, Remorse, Empaty, Pleasure, Trust, Gratitude",Positive
1840,15,38,"""Till the Day of the Time appointed.""",till the day of the time appointed,"Worship and Obedience, Afterlife and Judgment, Moral and Righteous Living, Tawhid (Oneness of God), Prophets and Revelation, Justice and Social Fairness","Trust, Anxiousness, Empaty, Contempt, Pride, Courage, Ecstacy",Positive
1841,15,39,"(Iblis) said: ""O my Lord! because Thou hast put me in the wrong, I will make (wrong) fair-seeming to them on the earth, and I will put them all in the wrong,-",iblis said o my lord because thou hast put me in the wrong i will make wrong fairseeming to them on the earth and i will put them all in the wrong,Good vs Evil (Accountability),"Hostility, Distress, Remorse, Contempt, Humiliation, Frustration, Regret, Anger, Anguish, Shame, Fear, Suffering",Negative
1842,15,40,"""Except Thy servants among them, sincere and purified (by Thy Grace).""",except thy servants among them sincere and purified by thy grace,"Moral and Righteous Living, Worship and Obedience, Tawhid (Oneness of God), Justice and Social Fairness","Grace, Contentment, Trust, Gratitude, Affection, Empaty, Courage, Love, Awe, Ecstacy",Positive
1843,15,41,"(Allah) said: ""This (way of My sincere servants) is indeed a way that leads straight to Me.",allah said this way of my sincere servants is indeed a way that leads straight to me,"Tawhid (Oneness of God), Moral and Righteous Living, Worship and Obedience","Awe, Grace, Courage, Trust, Empaty, Gratitude",Positive
1844,15,42,"""For over My servants no authority shalt thou have, except such as put themselves in the wrong and follow thee.""",for over my servants no authority shalt thou have except such as put themselves in the wrong and follow thee,"Worship and Obedience, Tawhid (Oneness of God), Good vs Evil (Accountability)","Trust, Contempt, Distress, Grace, Empaty",Negative
1845,15,43,"And verily, Hell is the promised abode for them all!",and verily hell is the promised abode for them all,"Afterlife and Judgment, Prophets and Revelation, Good vs Evil (Accountability)","Anguish, Fear, Hostility, Contempt, Despair, Anger, Hatred, Frustration, Distress, Shame, Regret, Rage, Humiliation, Suffering, Remorse, Envy, Anxiousness, Grief, Disappointment",Negative
1846,15,44,To it are seven gates: for each of those gates is a (special) class (of sinners) assigned.,to it are seven gates for each of those gates is a special class of sinners assigned,,"Contempt, Suffering, Humiliation, Shame, Anguish, Hostility, Despair, Remorse, Distress, Envy, Regret",Negative
1847,15,45,The righteous (will be) amid gardens and fountains (of clear-flowing water).,the righteous will be amid gardens and fountains of clearflowing water,"Moral and Righteous Living, Justice and Social Fairness, Worship and Obedience, Tawhid (Oneness of God), Good vs Evil (Accountability)","Trust, Courage, Hope, Grace, Ecstacy, Awe, Wonder, Empaty, Contentment, Joy, Pleasure, Pride",Positive
1848,15,46,"(Their greeting will be): ""Enter ye here in peace and security.""",their greeting will be enter ye here in peace and security,"Moral and Righteous Living, Justice and Social Fairness, Tawhid (Oneness of God), Worship and Obedience, Creation and Signs, Prophets and Revelation","Trust, Contentment, Grace, Happiness, Empaty, Hope, Pleasure, Affection, Ecstacy, Gratitude, Courage, Wonder, Joy, Love, Pride, Awe",Positive
1849,15,47,And We shall remove from their hearts any lurking sense of injury: (they will be) brothers (joyfully) facing each other on thrones (of dignity).,and we shall remove from their hearts any lurking sense of injury they will be brothers joyfully facing each other on thrones of dignity,"Moral and Righteous Living, Justice and Social Fairness, Worship and Obedience, Tawhid (Oneness of God), Creation and Signs, Afterlife and Judgment, Prophets and Revelation","Joy, Hope, Trust, Courage, Grace, Empaty, Awe, Ecstacy, Pride, Affection, Wonder, Happiness, Love, Pleasure, Contentment, Desire, Gratitude",Positive
1850,15,48,"There no sense of fatigue shall touch them, nor shall they (ever) be asked to leave.",there no sense of fatigue shall touch them nor shall they ever be asked to leave,"Worship and Obedience, Moral and Righteous Living, Tawhid (Oneness of God), Justice and Social Fairness, Creation and Signs","Trust, Grace, Courage, Empaty, Contentment, Affection, Ecstacy, Wonder, Joy, Pride",Positive
1851,15,49,"Tell My servants that I am indeed the Oft-forgiving, Most Merciful;",tell my servants that i am indeed the oftforgiving most merciful,"Moral and Righteous Living, Worship and Obedience, Tawhid (Oneness of God), Justice and Social Fairness, Creation and Signs, Good vs Evil (Accountability), Prophets and Revelation","Grace, Empaty, Affection, Trust, Love, Courage, Gratitude, Contentment, Ecstacy, Awe, Hope, Wonder, Remorse, Joy, Pride, Pleasure, Desire, Regret, Happiness",Positive
1852,15,50,And that My Penalty will be indeed the most grievous Penalty.,and that my penalty will be indeed the most grievous penalty,"Good vs Evil (Accountability), Prophets and Revelation","Anguish, Suffering, Contempt, Distress, Grief, Regret, Shame, Humiliation, Hostility, Remorse, Envy, Frustration, Despair, Fear, Ecstacy, Anger, Hatred, Empaty, Rage, Anxiousness, Disappointment, Trust",Negative
1853,15,51,Tell them about the guests of Abraham.,tell them about the guests of abraham,"Tawhid (Oneness of God), Moral and Righteous Living, Worship and Obedience",Trust,Positive
1854,15,52,"When they entered his presence and said, ""Peace!"" He said, ""We feel afraid of you!""",when they entered his presence and said peace he said we feel afraid of you,Tawhid (Oneness of God),"Fear, Anxiousness, Remorse, Hostility, Contempt, Distress",Negative
1855,15,53,"They said: ""Fear not! We give thee glad tidings of a son endowed with wisdom.""",they said fear not we give thee glad tidings of a son endowed with wisdom,"Prophets and Revelation, Moral and Righteous Living, Worship and Obedience, Tawhid (Oneness of God), Justice and Social Fairness, Creation and Signs","Hope, Joy, Wonder, Gratitude, Awe, Affection, Trust, Grace, Happiness, Contentment, Empaty, Ecstacy, Courage",Positive
1856,15,54,"He said: ""Do ye give me glad tidings that old age has seized me? Of what, then, is your good news?""",he said do ye give me glad tidings that old age has seized me of what then is your good news,,"Joy, Gratitude, Awe, Empaty, Happiness, Hope",Positive
1857,15,55,"They said: ""We give thee glad tidings in truth: be not then in despair!""",they said we give thee glad tidings in truth be not then in despair,"Prophets and Revelation, Moral and Righteous Living, Tawhid (Oneness of God), Justice and Social Fairness, Worship and Obedience, Creation and Signs","Hope, Joy, Happiness, Grace, Pleasure, Gratitude, Contentment, Awe, Empaty, Ecstacy, Affection, Trust, Wonder, Courage, Love, Pride",Positive
1858,15,56,"He said: ""And who despairs of the mercy of his Lord, but such as go astray?""",he said and who despairs of the mercy of his lord but such as go astray,"Good vs Evil (Accountability), Tawhid (Oneness of God), Prophets and Revelation","Despair, Remorse, Frustration, Regret, Distress, Contempt, Disappointment, Suffering, Grief, Anguish, Hostility, Fear, Shame, Empaty, Anxiousness, Envy",Negative
1859,15,57,"Abraham said: ""What then is the business on which ye (have come), O ye messengers (of Allah)?""",abraham said what then is the business on which ye have come o ye messengers of allah,"Prophets and Revelation, Tawhid (Oneness of God), Worship and Obedience, Moral and Righteous Living","Hostility, Distress",Positive
1860,15,58,"They said: ""We have been sent to a people (deep) in sin,",they said we have been sent to a people deep in sin,Prophets and Revelation,"Contempt, Suffering, Shame, Anguish, Despair, Distress, Envy, Regret, Hatred, Hostility, Remorse, Humiliation, Frustration",Negative
1861,15,59,"""Excepting the adherents of Lut: them we are certainly (charged) to save (from harm),- All -",excepting the adherents of lut them we are certainly charged to save from harm all ,"Good vs Evil (Accountability), Moral and Righteous Living, Justice and Social Fairness","Distress, Contempt, Remorse, Courage, Trust",Negative
1862,15,60,"""Except his wife, who, We have ascertained, will be among those who will lag behind.""",except his wife who we have ascertained will be among those who will lag behind,Justice and Social Fairness,"Suffering, Distress, Regret, Remorse, Disappointment, Contempt, Grief, Frustration, Despair, Trust, Shame",Negative
1863,15,61,"At length when the messengers arrived among the adherents of Lut,",at length when the messengers arrived among the adherents of lut,"Worship and Obedience, Moral and Righteous Living, Justice and Social Fairness, Good vs Evil (Accountability)","Hostility, Love, Awe",Positive
1864,15,62,"He said: ""Ye appear to be uncommon folk.""",he said ye appear to be uncommon folk,,"Contempt, Hostility, Distress, Wonder, Frustration, Remorse, Ecstacy, Awe, Disappointment",Negative
1865,15,63,"They said: ""Yea, we have come to thee to accomplish that of which they doubt.",they said yea we have come to thee to accomplish that of which they doubt,"Moral and Righteous Living, Justice and Social Fairness, Worship and Obedience, Tawhid (Oneness of God), Prophets and Revelation, Afterlife and Judgment, Good vs Evil (Accountability)","Courage, Trust, Empaty, Grace, Fear, Desire, Distress, Anxiousness, Ecstacy, Hope, Disappointment",Positive
1866,15,64,"""We have brought to thee that which is inevitably due, and assuredly we tell the truth.",we have brought to thee that which is inevitably due and assuredly we tell the truth,"Moral and Righteous Living, Justice and Social Fairness, Prophets and Revelation, Tawhid (Oneness of God), Afterlife and Judgment, Creation and Signs, Worship and Obedience, Good vs Evil (Accountability)","Courage, Trust, Empaty, Ecstacy, Awe, Grace, Regret, Contentment, Distress",Positive
1867,15,65,"""Then travel by night with thy household, when a portion of the night (yet remains), and do thou bring up the rear: let no one amongst you look back, but pass on whither ye are ordered.""",then travel by night with thy household when a portion of the night yet remains and do thou bring up the rear let no one amongst you look back but pass on whither ye are ordered,"Worship and Obedience, Moral and Righteous Living, Justice and Social Fairness, Tawhid (Oneness of God)","Courage, Trust, Distress, Ecstacy, Grace",Positive
1868,15,66,"And We made known this decree to him, that the last remnants of those (sinners) should be cut off by the morning.",and we made known this decree to him that the last remnants of those sinners should be cut off by the morning,"Good vs Evil (Accountability), Afterlife and Judgment, Moral and Righteous Living, Justice and Social Fairness, Tawhid (Oneness of God), Prophets and Revelation, Worship and Obedience","Contempt, Grace, Distress, Trust, Remorse, Courage, Ecstacy, Shame, Awe, Empaty, Hostility",Negative
1869,15,67,The inhabitants of the city came in (mad) joy (at news of the young men).,the inhabitants of the city came in mad joy at news of the young men,"Moral and Righteous Living, Tawhid (Oneness of God), Justice and Social Fairness, Worship and Obedience","Ecstacy, Joy, Awe, Affection, Gratitude, Happiness, Pleasure, Wonder, Courage, Pride, Hope, Empaty, Love, Desire, Trust",Positive
1870,15,68,"Lut said: ""These are my guests: disgrace me not:",lut said these are my guests disgrace me not,Tawhid (Oneness of God),"Shame, Contempt, Humiliation, Distress, Hostility, Disappointment, Anguish, Regret, Hatred, Remorse, Suffering, Frustration, Despair, Anger",Negative
1871,15,69,"""But fear Allah, and shame me not.""",but fear allah and shame me not,"Tawhid (Oneness of God), Moral and Righteous Living, Good vs Evil (Accountability), Prophets and Revelation, Afterlife and Judgment","Fear, Humiliation, Contempt, Hostility, Remorse, Distress, Suffering, Shame, Regret, Disappointment",Negative
1872,15,70,"They said: ""Did we not forbid thee (to speak) for all and sundry?""",they said did we not forbid thee to speak for all and sundry,Good vs Evil (Accountability),"Contempt, Hostility, Distress, Frustration, Regret, Ecstacy, Fear, Anguish",Negative
1873,15,71,"He said: ""There are my daughters (to marry), if ye must act (so).""",he said there are my daughters to marry if ye must act so,"Moral and Righteous Living, Worship and Obedience, Tawhid (Oneness of God), Justice and Social Fairness","Courage, Trust",Positive
1874,15,72,"Verily, by thy life (O Prophet), in their wild intoxication, they wander in distraction, to and fro.",verily by thy life o prophet in their wild intoxication they wander in distraction to and fro,Prophets and Revelation,"Distress, Ecstacy, Awe, Rage, Envy, Contempt, Hostility, Anxiousness, Frustration, Gratitude, Anguish",Negative
1875,15,73,"But the (mighty) Blast overtook them before morning,",but the mighty blast overtook them before morning,Tawhid (Oneness of God),"Rage, Awe, Wonder, Ecstacy, Anger, Anguish, Hostility, Distress, Envy, Contempt",Negative
1876,15,74,"And We turned (the cities) upside down, and rained down on them brimstones hard as baked clay.",and we turned the cities upside down and rained down on them brimstones hard as baked clay,"Tawhid (Oneness of God), Good vs Evil (Accountability)","Rage, Hatred, Anguish, Distress, Humiliation, Hostility, Contempt, Anger, Ecstacy",Negative
1877,15,75,Behold! in this are Signs for those who by tokens do understand.,behold in this are signs for those who by tokens do understand,"Prophets and Revelation, Moral and Righteous Living",,Neutral
1878,15,76,And the (cities were) right on the high-road.,and the cities were right on the highroad,"Moral and Righteous Living, Justice and Social Fairness, Tawhid (Oneness of God)","Ecstacy, Courage, Awe, Trust, Pleasure",Positive
1879,15,77,Behold! in this is a sign for those who believed.,behold in this is a sign for those who believed,"Worship and Obedience, Moral and Righteous Living, Tawhid (Oneness of God), Creation and Signs, Prophets and Revelation, Justice and Social Fairness","Hope, Trust, Courage, Grace, Awe, Affection, Empaty",Positive
1880,15,78,And the Companions of the Wood were also wrong-doers;,and the companions of the wood were also wrongdoers,Good vs Evil (Accountability),"Contempt, Shame, Hostility, Anguish, Remorse, Distress, Humiliation, Suffering, Regret, Hatred, Frustration",Negative
1881,15,79,"So We exacted retribution from them. They were both on an open highway, plain to see.",so we exacted retribution from them they were both on an open highway plain to see,Good vs Evil (Accountability),"Hostility, Contempt, Distress, Courage, Rage, Anger, Shame, Hatred, Anguish",Negative
1882,15,80,The Companions of the Rocky Tract also rejected the messengers:,the companions of the rocky tract also rejected the messengers,"Moral and Righteous Living, Tawhid (Oneness of God), Prophets and Revelation","Hostility, Contempt, Frustration, Disappointment, Distress, Humiliation, Hatred, Courage, Remorse, Fear, Despair, Anguish, Regret, Suffering, Anxiousness, Shame",Negative
1883,15,81,"We sent them Our Signs, but they persisted in turning away from them.",we sent them our signs but they persisted in turning away from them,"Good vs Evil (Accountability), Creation and Signs, Justice and Social Fairness, Tawhid (Oneness of God), Prophets and Revelation, Worship and Obedience, Moral and Righteous Living","Hostility, Frustration, Contempt, Disappointment, Distress, Ecstacy, Empaty, Anxiousness, Remorse, Fear, Anguish, Pride, Anger, Suffering, Despair, Regret, Shame, Humiliation, Envy, Desire",Negative
1884,15,82,"Out of the mountains did they hew (their) edifices, (feeling themselves) secure.",out of the mountains did they hew their edifices feeling themselves secure,"Tawhid (Oneness of God), Moral and Righteous Living, Worship and Obedience","Contentment, Trust, Courage, Ecstacy, Grace, Happiness, Pride, Wonder, Affection, Gratitude, Hope, Joy, Empaty, Awe",Positive
1885,15,83,"But the (mighty) Blast seized them of a morning,",but the mighty blast seized them of a morning,Tawhid (Oneness of God),"Distress, Anguish, Awe, Rage, Wonder, Anger, Ecstacy, Hostility, Contempt",Negative
1886,15,84,And of no avail to them was all that they did (with such art and care)!,and of no avail to them was all that they did with such art and care,"Creation and Signs, Good vs Evil (Accountability)","Disappointment, Frustration, Distress, Suffering, Regret, Despair, Empaty, Remorse, Envy, Ecstacy, Grief, Trust, Fear, Anger, Hostility, Anxiousness",Negative
1887,15,85,"We created not the heavens, the earth, and all between them, but for just ends. And the Hour is surely coming (when this will be manifest). So overlook (any human faults) with gracious forgiveness.",we created not the heavens the earth and all between them but for just ends and the hour is surely coming when this will be manifest so overlook any human faults with gracious forgiveness,"Moral and Righteous Living, Afterlife and Judgment, Creation and Signs, Tawhid (Oneness of God), Justice and Social Fairness, Worship and Obedience","Grace, Empaty, Trust, Ecstacy, Remorse, Love, Courage, Affection",Positive
1888,15,86,"For verily it is thy Lord who is the Master-Creator, knowing all things.",for verily it is thy lord who is the mastercreator knowing all things,"Tawhid (Oneness of God), Worship and Obedience, Creation and Signs, Moral and Righteous Living, Prophets and Revelation","Trust, Grace, Ecstacy, Wonder, Awe, Joy, Gratitude, Empaty, Pride, Contentment",Positive
1889,15,87,And We have bestowed upon thee the Seven Oft-repeated (verses) and the Grand QurLan.,and we have bestowed upon thee the seven oftrepeated verses and the grand qurlan,"Worship and Obedience, Tawhid (Oneness of God), Moral and Righteous Living","Grace, Awe",Positive
1890,15,88,"Strain not thine eyes. (Wistfully) at what We have bestowed on certain classes of them, nor grieve over them: but lower thy wing (in gentleness) to the believers.",strain not thine eyes wistfully at what we have bestowed on certain classes of them nor grieve over them but lower thy wing in gentleness to the believers,"Worship and Obedience, Moral and Righteous Living, Justice and Social Fairness, Tawhid (Oneness of God)","Empaty, Affection, Trust, Grace, Regret, Remorse, Grief, Gratitude, Love, Ecstacy",Negative
1891,15,89,"And say: ""I am indeed he that warneth openly and without ambiguity,""-",and say i am indeed he that warneth openly and without ambiguity,"Prophets and Revelation, Moral and Righteous Living, Good vs Evil (Accountability)","Courage, Contempt",Negative
1892,15,90,"(Of just such wrath) as We sent down on those who divided (Scripture into arbitrary parts),-",of just such wrath as we sent down on those who divided scripture into arbitrary parts,Prophets and Revelation,"Anguish, Rage, Anger, Hostility, Hatred, Contempt, Distress",Negative
1893,15,91,(So also on such) as have made QurLan into shreds (as they please).,so also on such as have made qurlan into shreds as they please,,"Shame, Contempt, Hostility, Frustration",Negative
1894,15,92,"Therefore, by the Lord, We will, of a surety, call them to account,",therefore by the lord we will of a surety call them to account,"Good vs Evil (Accountability), Tawhid (Oneness of God), Moral and Righteous Living, Afterlife and Judgment, Justice and Social Fairness","Trust, Contempt, Distress, Shame, Regret, Hostility, Remorse, Ecstacy",Positive
1895,15,93,For all their deeds.,for all their deeds,"Moral and Righteous Living, Good vs Evil (Accountability), Justice and Social Fairness, Tawhid (Oneness of God), Worship and Obedience","Gratitude, Awe, Shame, Courage, Remorse, Regret, Wonder, Grace, Trust, Contentment, Contempt, Joy, Ecstacy, Pride, Empaty",Positive
1896,15,94,"Therefore expound openly what thou art commanded, and turn away from those who join false gods with Allah.",therefore expound openly what thou art commanded and turn away from those who join false gods with allah,"Moral and Righteous Living, Tawhid (Oneness of God), Good vs Evil (Accountability), Prophets and Revelation, Justice and Social Fairness, Worship and Obedience","Courage, Hostility, Grace, Contempt, Empaty, Awe, Trust, Shame, Ecstacy",Negative
1897,15,95,"For sufficient are We unto thee against those who scoff,-",for sufficient are we unto thee against those who scoff,"Moral and Righteous Living, Worship and Obedience, Tawhid (Oneness of God), Justice and Social Fairness, Prophets and Revelation, Good vs Evil (Accountability)","Courage, Trust, Grace, Contentment, Contempt, Hope, Hostility, Awe, Gratitude, Empaty, Affection, Pride, Ecstacy, Remorse, Joy, Love, Wonder",Positive
1898,15,96,"Those who adopt, with Allah, another god: but soon will they come to know.",those who adopt with allah another god but soon will they come to know,Worship and Obedience,Affection,Negative
1899,15,97,We do indeed know how thy heart is distressed at what they say.,we do indeed know how thy heart is distressed at what they say,Prophets and Revelation,"Distress, Anguish, Empaty, Suffering, Frustration, Remorse, Anxiousness, Regret, Grief, Fear, Despair, Contempt, Disappointment, Hostility, Humiliation, Shame",Negative
1900,15,98,"But celebrate the praises of thy Lord, and be of those who prostrate themselves in adoration.",but celebrate the praises of thy lord and be of those who prostrate themselves in adoration,"Worship and Obedience, Moral and Righteous Living, Tawhid (Oneness of God), Prophets and Revelation","Affection, Gratitude, Awe, Grace, Joy, Ecstacy, Pride, Trust, Love, Empaty, Hope, Courage",Positive
1901,15,99,And serve thy Lord until there come unto thee the Hour that is Certain.,and serve thy lord until there come unto thee the hour that is certain,"Worship and Obedience, Moral and Righteous Living, Afterlife and Judgment, Tawhid (Oneness of God), Prophets and Revelation","Trust, Courage, Grace, Ecstacy, Empaty, Awe",Positive
1902,16,1,"(Inevitable) cometh (to pass) the Command of Allah: seek ye not then to hasten it: Glory to Him, and far is He above having the partners they ascribe unto Him!",inevitable cometh to pass the command of allah seek ye not then to hasten it glory to him and far is he above having the partners they ascribe unto him,"Worship and Obedience, Moral and Righteous Living, Prophets and Revelation","Anxiousness, Awe, Affection, Trust",Positive
1903,16,2,"He doth send down His angels with inspiration of His Command, to such of His servants as He pleaseth, (saying): ""Warn (Man) that there is no god but I: so do your duty unto Me.""",he doth send down his angels with inspiration of his command to such of his servants as he pleaseth saying warn man that there is no god but i so do your duty unto me,"Prophets and Revelation, Worship and Obedience, Moral and Righteous Living","Grace, Courage, Trust, Awe, Pleasure",Negative
1904,16,3,He has created the heavens and the earth for just ends: Far is He above having the partners they ascribe to Him!,he has created the heavens and the earth for just ends far is he above having the partners they ascribe to him,"Creation and Signs, Justice and Social Fairness, Tawhid (Oneness of God), Worship and Obedience, Moral and Righteous Living","Awe, Ecstacy, Wonder, Trust",Positive
1905,16,4,He has created man from a sperm-drop; and behold this same (man) becomes an open disputer!,he has created man from a spermdrop and behold this same man becomes an open disputer,"Creation and Signs, Tawhid (Oneness of God)","Disappointment, Shame, Awe, Distress, Wonder, Contempt, Humiliation, Despair, Hostility, Frustration, Suffering, Anguish",Negative
1906,16,5,"And cattle He has created for you (men): from them ye derive warmth, and numerous benefits, and of their (meat) ye eat.",and cattle he has created for you men from them ye derive warmth and numerous benefits and of their meat ye eat,"Tawhid (Oneness of God), Moral and Righteous Living, Worship and Obedience, Justice and Social Fairness","Ecstacy, Gratitude, Pleasure, Empaty, Awe, Affection, Grace, Trust, Joy, Courage, Wonder, Pride, Contentment, Happiness",Positive
1907,16,6,"And ye have a sense of pride and beauty in them as ye drive them home in the evening, and as ye lead them forth to pasture in the morning.",and ye have a sense of pride and beauty in them as ye drive them home in the evening and as ye lead them forth to pasture in the morning,"Worship and Obedience, Moral and Righteous Living","Pride, Joy, Affection, Awe, Ecstacy, Wonder, Empaty, Pleasure, Courage, Gratitude, Happiness, Trust, Grace",Positive
1908,16,7,"And they carry your heavy loads to lands that ye could not (otherwise) reach except with souls distressed: for your Lord is indeed Most Kind, Most Merciful,",and they carry your heavy loads to lands that ye could not otherwise reach except with souls distressed for your lord is indeed most kind most merciful,"Tawhid (Oneness of God), Worship and Obedience, Moral and Righteous Living","Grace, Distress, Gratitude, Empaty, Trust, Frustration, Love, Affection, Awe, Courage, Remorse, Wonder, Grief, Anxiousness, Ecstacy, Suffering",Positive
1909,16,8,"And (He has created) horses, mules, and donkeys, for you to ride and use for show; and He has created (other) things of which ye have no knowledge.",and he has created horses mules and donkeys for you to ride and use for show and he has created other things of which ye have no knowledge,Tawhid (Oneness of God),"Wonder, Awe, Ecstacy",Positive
1910,16,9,"And unto Allah leads straight the Way, but there are ways that turn aside: if Allah had willed, He could have guided all of you.",and unto allah leads straight the way but there are ways that turn aside if allah had willed he could have guided all of you,Moral and Righteous Living,"Regret, Contempt, Distress, Hostility, Trust",Negative
1911,16,10,"It is He who sends down rain from the sky: from it ye drink, and out of it (grows) the vegetation on which ye feed your cattle.",it is he who sends down rain from the sky from it ye drink and out of it grows the vegetation on which ye feed your cattle,"Tawhid (Oneness of God), Moral and Righteous Living, Creation and Signs, Worship and Obedience","Grace, Gratitude, Trust, Ecstacy, Awe, Wonder",Positive
1912,16,11,"With it He produces for you corn, olives, date-palms, grapes and every kind of fruit: verily in this is a sign for those who give thought.",with it he produces for you corn olives datepalms grapes and every kind of fruit verily in this is a sign for those who give thought,"Creation and Signs, Moral and Righteous Living, Tawhid (Oneness of God)","Wonder, Empaty, Awe, Gratitude, Grace, Trust, Affection, Courage",Positive
1913,16,12,He has made subject to you the Night and the Day; the sun and the moon; and the stars are in subjection by His Command: verily in this are Signs for men who are wise.,he has made subject to you the night and the day the sun and the moon and the stars are in subjection by his command verily in this are signs for men who are wise,"Creation and Signs, Worship and Obedience, Moral and Righteous Living, Tawhid (Oneness of God)","Wonder, Trust, Grace, Ecstacy, Empaty, Courage",Positive
1914,16,13,And the things on this earth which He has multiplied in varying colours (and qualities): verily in this is a sign for men who celebrate the praises of Allah (in gratitude).,and the things on this earth which he has multiplied in varying colours and qualities verily in this is a sign for men who celebrate the praises of allah in gratitude,"Creation and Signs, Worship and Obedience, Tawhid (Oneness of God), Moral and Righteous Living","Gratitude, Awe, Grace, Wonder, Ecstacy",Positive
1915,16,14,"It is He Who has made the sea subject, that ye may eat thereof flesh that is fresh and tender, and that ye may extract therefrom ornaments to wear; and thou seest the ships therein that plough the waves, that ye may seek (thus) of the bounty of Allah and that ye may be grateful.",it is he who has made the sea subject that ye may eat thereof flesh that is fresh and tender and that ye may extract therefrom ornaments to wear and thou seest the ships therein that plough the waves that ye may seek thus of the bounty of allah and that ye may be grateful,"Moral and Righteous Living, Tawhid (Oneness of God), Good vs Evil (Accountability)","Gratitude, Awe, Grace, Contentment, Trust, Affection, Pleasure, Wonder, Courage",Positive
1916,16,15,"And He has set up on the earth mountains standing firm, lest it should shake with you; and rivers and roads; that ye may guide yourselves;",and he has set up on the earth mountains standing firm lest it should shake with you and rivers and roads that ye may guide yourselves,"Moral and Righteous Living, Tawhid (Oneness of God), Worship and Obedience","Courage, Trust, Anxiousness, Grace, Distress, Hope, Awe, Ecstacy, Wonder",Positive
1917,16,16,And marks and sign-posts; and by the stars (men) guide themselves.,and marks and signposts and by the stars men guide themselves,"Creation and Signs, Moral and Righteous Living",Ecstacy,Positive
1918,16,17,Is then He Who creates like one that creates not? Will ye not receive admonition?,is then he who creates like one that creates not will ye not receive admonition,"Good vs Evil (Accountability), Moral and Righteous Living, Prophets and Revelation, Creation and Signs","Contempt, Hostility, Remorse, Distress, Shame, Regret",Negative
1919,16,18,"If ye would count up the favours of Allah, never would ye be able to number them: for Allah is Oft-Forgiving, Most Merciful.",if ye would count up the favours of allah never would ye be able to number them for allah is oftforgiving most merciful,"Tawhid (Oneness of God), Worship and Obedience","Grace, Affection, Trust, Wonder, Awe, Gratitude, Empaty, Ecstacy, Contentment",Positive
